id,value,category
2307,value_2307,cat_7
2308,value_2308,cat_8
2309,value_2309,cat_9
2310,value_2310,cat_0
2311,value_2311,cat_1
2312,value_2312,cat_2
2313,value_2313,cat_3
2314,value_2314,cat_4
2315,value_2315,cat_5
2316,value_2316,cat_6
2317,value_2317,cat_7
2318,value_2318,cat_8
2319,value_2319,cat_9
2320,value_2320,cat_0
2321,value_2321,cat_1
2322,value_2322,cat_2
2323,value_2323,cat_3
2324,value_2324,cat_4
2325,value_2325,cat_5
2326,value_2326,cat_6
2327,value_2327,cat_7
2328,value_2328,cat_8
2329,value_2329,cat_9
2330,value_2330,cat_0
2331,value_2331,cat_1
2332,value_2332,cat_2
2333,value_2333,cat_3
2334,value_2334,cat_4
2335,value_2335,cat_5
2336,value_2336,cat_6
2337,value_2337,cat_7
2338,value_2338,cat_8
2339,value_2339,cat_9
2340,value_2340,cat_0
2341,value_2341,cat_1
2342,value_2342,cat_2
2343,value_2343,cat_3
2344,value_2344,cat_4
2345,value_2345,cat_5
2346,value_2346,cat_6
2347,value_2347,cat_7
2348,value_2348,cat_8
2349,value_2349,cat_9
2350,value_2350,cat_0
2351,value_2351,cat_1
2352,value_2352,cat_2
2353,value_2353,cat_3
2354,value_2354,cat_4
2355,value_2355,cat_5
2356,value_2356,cat_6
2357,value_2357,cat_7
2358,value_2358,cat_8
2359,value_2359,cat_9
2360,value_2360,cat_0
2361,value_2361,cat_1
2362,value_2362,cat_2
2363,value_2363,cat_3
2364,value_2364,cat_4
2365,value_2365,cat_5
2366,value_2366,cat_6
2367,value_2367,cat_7
2368,value_2368,cat_8
2369,value_2369,cat_9
2370,value_2370,cat_0
2371,value_2371,cat_1
2372,value_2372,cat_2
2373,value_2373,cat_3
2374,value_2374,cat_4
2375,value_2375,cat_5
2376,value_2376,cat_6
2377,value_2377,cat_7
2378,value_2378,cat_8
2379,value_2379,cat_9
2380,value_2380,cat_0
2381,value_2381,cat_1
2382,value_2382,cat_2
2383,value_2383,cat_3
2384,value_2384,cat_4
2385,value_2385,cat_5
2386,value_2386,cat_6
2387,value_2387,cat_7
2388,value_2388,cat_8
2389,value_2389,cat_9
2390,value_2390,cat_0
2391,value_2391,cat_1
2392,value_2392,cat_2
2393,value_2393,cat_3
2394,value_2394,cat_4
2395,value_2395,cat_5
2396,value_2396,cat_6
2397,value_2397,cat_7
2398,value_2398,cat_8
2399,value_2399,cat_9
2400,value_2400,cat_0
2401,value_2401,cat_1
2402,value_2402,cat_2
2403,value_2403,cat_3
2404,value_2404,cat_4
2405,value_2405,cat_5
2406,value_2406,cat_6
2407,value_2407,cat_7
2408,value_2408,cat_8
2409,value_2409,cat_9
2410,value_2410,cat_0
2411,value_2411,cat_1
2412,value_2412,cat_2
2413,value_2413,cat_3
2414,value_2414,cat_4
2415,value_2415,cat_5
2416,value_2416,cat_6
2417,value_2417,cat_7
2418,value_2418,cat_8
2419,value_2419,cat_9
2420,value_2420,cat_0
2421,value_2421,cat_1
2422,value_2422,cat_2
2423,value_2423,cat_3
2424,value_2424,cat_4
2425,value_2425,cat_5
2426,value_2426,cat_6
2427,value_2427,cat_7
2428,value_2428,cat_8
2429,value_2429,cat_9
2430,value_2430,cat_0
2431,value_2431,cat_1
2432,value_2432,cat_2
2433,value_2433,cat_3
2434,value_2434,cat_4
2435,value_2435,cat_5
2436,value_2436,cat_6
2437,value_2437,cat_7
2438,value_2438,cat_8
2439,value_2439,cat_9
2440,value_2440,cat_0
2441,value_2441,cat_1
2442,value_2442,cat_2
2443,value_2443,cat_3
2444,value_2444,cat_4
2445,value_2445,cat_5
2446,value_2446,cat_6
2447,value_2447,cat_7
2448,value_2448,cat_8
2449,value_2449,cat_9
2450,value_2450,cat_0
2451,value_2451,cat_1
2452,value_2452,cat_2
2453,value_2453,cat_3
2454,value_2454,cat_4
2455,value_2455,cat_5
2456,value_2456,cat_6
2457,value_2457,cat_7
2458,value_2458,cat_8
2459,value_2459,cat_9
2460,value_2460,cat_0
2461,value_2461,cat_1
2462,value_2462,cat_2
2463,value_2463,cat_3
2464,value_2464,cat_4
2465,value_2465,cat_5
2466,value_2466,cat_6
2467,value_2467,cat_7
2468,value_2468,cat_8
2469,value_2469,cat_9
2470,value_2470,cat_0
2471,value_2471,cat_1
2472,value_2472,cat_2
2473,value_2473,cat_3
2474,value_2474,cat_4
2475,value_2475,cat_5
2476,value_2476,cat_6
2477,value_2477,cat_7
2478,value_2478,cat_8
2479,value_2479,cat_9
2480,value_2480,cat_0
2481,value_2481,cat_1
2482,value_2482,cat_2
2483,value_2483,cat_3
2484,value_2484,cat_4
2485,value_2485,cat_5
2486,value_2486,cat_6
2487,value_2487,cat_7
2488,value_2488,cat_8
2489,value_2489,cat_9
2490,value_2490,cat_0
2491,value_2491,cat_1
2492,value_2492,cat_2
2493,value_2493,cat_3
2494,value_2494,cat_4
2495,value_2495,cat_5
2496,value_2496,cat_6
2497,value_2497,cat_7
2498,value_2498,cat_8
2499,value_2499,cat_9
2500,value_2500,cat_0
2501,value_2501,cat_1
2502,value_2502,cat_2
2503,value_2503,cat_3
2504,value_2504,cat_4
2505,value_2505,cat_5
2506,value_2506,cat_6
2507,value_2507,cat_7
2508,value_2508,cat_8
2509,value_2509,cat_9
2510,value_2510,cat_0
2511,value_2511,cat_1
2512,value_2512,cat_2
2513,value_2513,cat_3
2514,value_2514,cat_4
2515,value_2515,cat_5
2516,value_2516,cat_6
2517,value_2517,cat_7
2518,value_2518,cat_8
2519,value_2519,cat_9
2520,value_2520,cat_0
2521,value_2521,cat_1
2522,value_2522,cat_2
2523,value_2523,cat_3
2524,value_2524,cat_4
2525,value_2525,cat_5
2526,value_2526,cat_6
2527,value_2527,cat_7
2528,value_2528,cat_8
2529,value_2529,cat_9
2530,value_2530,cat_0
2531,value_2531,cat_1
2532,value_2532,cat_2
2533,value_2533,cat_3
2534,value_2534,cat_4
2535,value_2535,cat_5
2536,value_2536,cat_6
2537,value_2537,cat_7
2538,value_2538,cat_8
2539,value_2539,cat_9
2540,value_2540,cat_0
2541,value_2541,cat_1
2542,value_2542,cat_2
2543,value_2543,cat_3
2544,value_2544,cat_4
2545,value_2545,cat_5
2546,value_2546,cat_6
2547,value_2547,cat_7
2548,value_2548,cat_8
2549,value_2549,cat_9
2550,value_2550,cat_0
2551,value_2551,cat_1
2552,value_2552,cat_2
2553,value_2553,cat_3
2554,value_2554,cat_4
2555,value_2555,cat_5
2556,value_2556,cat_6
2557,value_2557,cat_7
2558,value_2558,cat_8
2559,value_2559,cat_9
2560,value_2560,cat_0
2561,value_2561,cat_1
2562,value_2562,cat_2
2563,value_2563,cat_3
2564,value_2564,cat_4
2565,value_2565,cat_5
2566,value_2566,cat_6
2567,value_2567,cat_7
2568,value_2568,cat_8
2569,value_2569,cat_9
2570,value_2570,cat_0
2571,value_2571,cat_1
2572,value_2572,cat_2
2573,value_2573,cat_3
2574,value_2574,cat_4
2575,value_2575,cat_5
2576,value_2576,cat_6
2577,value_2577,cat_7
2578,value_2578,cat_8
2579,value_2579,cat_9
2580,value_2580,cat_0
2581,value_2581,cat_1
2582,value_2582,cat_2
2583,value_2583,cat_3
2584,value_2584,cat_4
2585,value_2585,cat_5
2586,value_2586,cat_6
2587,value_2587,cat_7
2588,value_2588,cat_8
2589,value_2589,cat_9
2590,value_2590,cat_0
2591,value_2591,cat_1
2592,value_2592,cat_2
2593,value_2593,cat_3
2594,value_2594,cat_4
2595,value_2595,cat_5
2596,value_2596,cat_6
2597,value_2597,cat_7
2598,value_2598,cat_8
2599,value_2599,cat_9
2600,value_2600,cat_0
2601,value_2601,cat_1
2602,value_2602,cat_2
2603,value_2603,cat_3
2604,value_2604,cat_4
2605,value_2605,cat_5
2606,value_2606,cat_6
2607,value_2607,cat_7
2608,value_2608,cat_8
2609,value_2609,cat_9
2610,value_2610,cat_0
2611,value_2611,cat_1
2612,value_2612,cat_2
2613,value_2613,cat_3
2614,value_2614,cat_4
2615,value_2615,cat_5
2616,value_2616,cat_6
2617,value_2617,cat_7
2618,value_2618,cat_8
2619,value_2619,cat_9
2620,value_2620,cat_0
2621,value_2621,cat_1
2622,value_2622,cat_2
2623,value_2623,cat_3
2624,value_2624,cat_4
2625,value_2625,cat_5
2626,value_2626,cat_6
2627,value_2627,cat_7
2628,value_2628,cat_8
2629,value_2629,cat_9
2630,value_2630,cat_0
2631,value_2631,cat_1
2632,value_2632,cat_2
2633,value_2633,cat_3
2634,value_2634,cat_4
2635,value_2635,cat_5
2636,value_2636,cat_6
2637,value_2637,cat_7
2638,value_2638,cat_8
2639,value_2639,cat_9
2640,value_2640,cat_0
2641,value_2641,cat_1
2642,value_2642,cat_2
2643,value_2643,cat_3
2644,value_2644,cat_4
2645,value_2645,cat_5
2646,value_2646,cat_6
2647,value_2647,cat_7
2648,value_2648,cat_8
2649,value_2649,cat_9
2650,value_2650,cat_0
2651,value_2651,cat_1
2652,value_2652,cat_2
2653,value_2653,cat_3
2654,value_2654,cat_4
2655,value_2655,cat_5
2656,value_2656,cat_6
2657,value_2657,cat_7
2658,value_2658,cat_8
2659,value_2659,cat_9
2660,value_2660,cat_0
2661,value_2661,cat_1
2662,value_2662,cat_2
2663,value_2663,cat_3
2664,value_2664,cat_4
2665,value_2665,cat_5
2666,value_2666,cat_6
2667,value_2667,cat_7
2668,value_2668,cat_8
2669,value_2669,cat_9
2670,value_2670,cat_0
2671,value_2671,cat_1
2672,value_2672,cat_2
2673,value_2673,cat_3
2674,value_2674,cat_4
2675,value_2675,cat_5
2676,value_2676,cat_6
2677,value_2677,cat_7
2678,value_2678,cat_8
2679,value_2679,cat_9
2680,value_2680,cat_0
2681,value_2681,cat_1
2682,value_2682,cat_2
2683,value_2683,cat_3
2684,value_2684,cat_4
2685,value_2685,cat_5
2686,value_2686,cat_6
2687,value_2687,cat_7
2688,value_2688,cat_8
2689,value_2689,cat_9
2690,value_2690,cat_0
2691,value_2691,cat_1
2692,value_2692,cat_2
2693,value_2693,cat_3
2694,value_2694,cat_4
2695,value_2695,cat_5
2696,value_2696,cat_6
2697,value_2697,cat_7
2698,value_2698,cat_8
2699,value_2699,cat_9
2700,value_2700,cat_0
2701,value_2701,cat_1
2702,value_2702,cat_2
2703,value_2703,cat_3
2704,value_2704,cat_4
2705,value_2705,cat_5
2706,value_2706,cat_6
2707,value_2707,cat_7
2708,value_2708,cat_8
2709,value_2709,cat_9
2710,value_2710,cat_0
2711,value_2711,cat_1
2712,value_2712,cat_2
2713,value_2713,cat_3
2714,value_2714,cat_4
2715,value_2715,cat_5
2716,value_2716,cat_6
2717,value_2717,cat_7
2718,value_2718,cat_8
2719,value_2719,cat_9
2720,value_2720,cat_0
2721,value_2721,cat_1
2722,value_2722,cat_2
2723,value_2723,cat_3
2724,value_2724,cat_4
2725,value_2725,cat_5
2726,value_2726,cat_6
2727,value_2727,cat_7
2728,value_2728,cat_8
2729,value_2729,cat_9
2730,value_2730,cat_0
2731,value_2731,cat_1
2732,value_2732,cat_2
2733,value_2733,cat_3
2734,value_2734,cat_4
2735,value_2735,cat_5
2736,value_2736,cat_6
2737,value_2737,cat_7
2738,value_2738,cat_8
2739,value_2739,cat_9
2740,value_2740,cat_0
2741,value_2741,cat_1
2742,value_2742,cat_2
2743,value_2743,cat_3
2744,value_2744,cat_4
2745,value_2745,cat_5
2746,value_2746,cat_6
2747,value_2747,cat_7
2748,value_2748,cat_8
2749,value_2749,cat_9
2750,value_2750,cat_0
2751,value_2751,cat_1
2752,value_2752,cat_2
2753,value_2753,cat_3
2754,value_2754,cat_4
2755,value_2755,cat_5
2756,value_2756,cat_6
2757,value_2757,cat_7
2758,value_2758,cat_8
2759,value_2759,cat_9
2760,value_2760,cat_0
2761,value_2761,cat_1
2762,value_2762,cat_2
2763,value_2763,cat_3
2764,value_2764,cat_4
2765,value_2765,cat_5
2766,value_2766,cat_6
2767,value_2767,cat_7
2768,value_2768,cat_8
2769,value_2769,cat_9
2770,value_2770,cat_0
2771,value_2771,cat_1
2772,value_2772,cat_2
2773,value_2773,cat_3
2774,value_2774,cat_4
2775,value_2775,cat_5
2776,value_2776,cat_6
2777,value_2777,cat_7
2778,value_2778,cat_8
2779,value_2779,cat_9
2780,value_2780,cat_0
2781,value_2781,cat_1
2782,value_2782,cat_2
2783,value_2783,cat_3
2784,value_2784,cat_4
2785,value_2785,cat_5
2786,value_2786,cat_6
2787,value_2787,cat_7
2788,value_2788,cat_8
2789,value_2789,cat_9
2790,value_2790,cat_0
2791,value_2791,cat_1
2792,value_2792,cat_2
2793,value_2793,cat_3
2794,value_2794,cat_4
2795,value_2795,cat_5
2796,value_2796,cat_6
2797,value_2797,cat_7
2798,value_2798,cat_8
2799,value_2799,cat_9
2800,value_2800,cat_0
2801,value_2801,cat_1
2802,value_2802,cat_2
2803,value_2803,cat_3
2804,value_2804,cat_4
2805,value_2805,cat_5
2806,value_2806,cat_6
2807,value_2807,cat_7
2808,value_2808,cat_8
2809,value_2809,cat_9
2810,value_2810,cat_0
2811,value_2811,cat_1
2812,value_2812,cat_2
2813,value_2813,cat_3
2814,value_2814,cat_4
2815,value_2815,cat_5
2816,value_2816,cat_6
2817,value_2817,cat_7
2818,value_2818,cat_8
2819,value_2819,cat_9
2820,value_2820,cat_0
2821,value_2821,cat_1
2822,value_2822,cat_2
2823,value_2823,cat_3
2824,value_2824,cat_4
2825,value_2825,cat_5
2826,value_2826,cat_6
2827,value_2827,cat_7
2828,value_2828,cat_8
2829,value_2829,cat_9
2830,value_2830,cat_0
2831,value_2831,cat_1
2832,value_2832,cat_2
2833,value_2833,cat_3
2834,value_2834,cat_4
2835,value_2835,cat_5
2836,value_2836,cat_6
2837,value_2837,cat_7
2838,value_2838,cat_8
2839,value_2839,cat_9
2840,value_2840,cat_0
2841,value_2841,cat_1
2842,value_2842,cat_2
2843,value_2843,cat_3
2844,value_2844,cat_4
2845,value_2845,cat_5
2846,value_2846,cat_6
2847,value_2847,cat_7
2848,value_2848,cat_8
2849,value_2849,cat_9
2850,value_2850,cat_0
2851,value_2851,cat_1
2852,value_2852,cat_2
2853,value_2853,cat_3
2854,value_2854,cat_4
2855,value_2855,cat_5
2856,value_2856,cat_6
2857,value_2857,cat_7
2858,value_2858,cat_8
2859,value_2859,cat_9
2860,value_2860,cat_0
2861,value_2861,cat_1
2862,value_2862,cat_2
2863,value_2863,cat_3
2864,value_2864,cat_4
2865,value_2865,cat_5
2866,value_2866,cat_6
2867,value_2867,cat_7
2868,value_2868,cat_8
2869,value_2869,cat_9
2870,value_2870,cat_0
2871,value_2871,cat_1
2872,value_2872,cat_2
2873,value_2873,cat_3
2874,value_2874,cat_4
2875,value_2875,cat_5
2876,value_2876,cat_6
2877,value_2877,cat_7
2878,value_2878,cat_8
2879,value_2879,cat_9
2880,value_2880,cat_0
2881,value_2881,cat_1
2882,value_2882,cat_2
2883,value_2883,cat_3
2884,value_2884,cat_4
2885,value_2885,cat_5
2886,value_2886,cat_6
2887,value_2887,cat_7
2888,value_2888,cat_8
2889,value_2889,cat_9
2890,value_2890,cat_0
2891,value_2891,cat_1
2892,value_2892,cat_2
2893,value_2893,cat_3
2894,value_2894,cat_4
2895,value_2895,cat_5
2896,value_2896,cat_6
2897,value_2897,cat_7
2898,value_2898,cat_8
2899,value_2899,cat_9
2900,value_2900,cat_0
2901,value_2901,cat_1
2902,value_2902,cat_2
2903,value_2903,cat_3
2904,value_2904,cat_4
2905,value_2905,cat_5
2906,value_2906,cat_6
2907,value_2907,cat_7
2908,value_2908,cat_8
2909,value_2909,cat_9
2910,value_2910,cat_0
2911,value_2911,cat_1
2912,value_2912,cat_2
2913,value_2913,cat_3
2914,value_2914,cat_4
2915,value_2915,cat_5
2916,value_2916,cat_6
2917,value_2917,cat_7
2918,value_2918,cat_8
2919,value_2919,cat_9
2920,value_2920,cat_0
2921,value_2921,cat_1
2922,value_2922,cat_2
2923,value_2923,cat_3
2924,value_2924,cat_4
2925,value_2925,cat_5
2926,value_2926,cat_6
2927,value_2927,cat_7
2928,value_2928,cat_8
2929,value_2929,cat_9
2930,value_2930,cat_0
2931,value_2931,cat_1
2932,value_2932,cat_2
2933,value_2933,cat_3
2934,value_2934,cat_4
2935,value_2935,cat_5
2936,value_2936,cat_6
2937,value_2937,cat_7
2938,value_2938,cat_8
2939,value_2939,cat_9
2940,value_2940,cat_0
2941,value_2941,cat_1
2942,value_2942,cat_2
2943,value_2943,cat_3
2944,value_2944,cat_4
2945,value_2945,cat_5
2946,value_2946,cat_6
2947,value_2947,cat_7
2948,value_2948,cat_8
2949,value_2949,cat_9
2950,value_2950,cat_0
2951,value_2951,cat_1
2952,value_2952,cat_2
2953,value_2953,cat_3
2954,value_2954,cat_4
2955,value_2955,cat_5
2956,value_2956,cat_6
2957,value_2957,cat_7
2958,value_2958,cat_8
2959,value_2959,cat_9
2960,value_2960,cat_0
2961,value_2961,cat_1
2962,value_2962,cat_2
2963,value_2963,cat_3
2964,value_2964,cat_4
2965,value_2965,cat_5
2966,value_2966,cat_6
2967,value_2967,cat_7
2968,value_2968,cat_8
2969,value_2969,cat_9
2970,value_2970,cat_0
2971,value_2971,cat_1
2972,value_2972,cat_2
2973,value_2973,cat_3
2974,value_2974,cat_4
2975,value_2975,cat_5
2976,value_2976,cat_6
2977,value_2977,cat_7
2978,value_2978,cat_8
2979,value_2979,cat_9
2980,value_2980,cat_0
2981,value_2981,cat_1
2982,value_2982,cat_2
2983,value_2983,cat_3
2984,value_2984,cat_4
2985,value_2985,cat_5
2986,value_2986,cat_6
2987,value_2987,cat_7
2988,value_2988,cat_8
2989,value_2989,cat_9
2990,value_2990,cat_0
2991,value_2991,cat_1
2992,value_2992,cat_2
2993,value_2993,cat_3
2994,value_2994,cat_4
2995,value_2995,cat_5
2996,value_2996,cat_6
2997,value_2997,cat_7
2998,value_2998,cat_8
2999,value_2999,cat_9
3000,value_3000,cat_0
3001,value_3001,cat_1
3002,value_3002,cat_2
3003,value_3003,cat_3
3004,value_3004,cat_4
3005,value_3005,cat_5
3006,value_3006,cat_6
3007,value_3007,cat_7
3008,value_3008,cat_8
3009,value_3009,cat_9
3010,value_3010,cat_0
3011,value_3011,cat_1
3012,value_3012,cat_2
3013,value_3013,cat_3
3014,value_3014,cat_4
3015,value_3015,cat_5
3016,value_3016,cat_6
3017,value_3017,cat_7
3018,value_3018,cat_8
3019,value_3019,cat_9
3020,value_3020,cat_0
3021,value_3021,cat_1
3022,value_3022,cat_2
3023,value_3023,cat_3
3024,value_3024,cat_4
3025,value_3025,cat_5
3026,value_3026,cat_6
3027,value_3027,cat_7
3028,value_3028,cat_8
3029,value_3029,cat_9
3030,value_3030,cat_0
3031,value_3031,cat_1
3032,value_3032,cat_2
3033,value_3033,cat_3
3034,value_3034,cat_4
3035,value_3035,cat_5
3036,value_3036,cat_6
3037,value_3037,cat_7
3038,value_3038,cat_8
3039,value_3039,cat_9
3040,value_3040,cat_0
3041,value_3041,cat_1
3042,value_3042,cat_2
3043,value_3043,cat_3
3044,value_3044,cat_4
3045,value_3045,cat_5
3046,value_3046,cat_6
3047,value_3047,cat_7
3048,value_3048,cat_8
3049,value_3049,cat_9
3050,value_3050,cat_0
3051,value_3051,cat_1
3052,value_3052,cat_2
3053,value_3053,cat_3
3054,value_3054,cat_4
3055,value_3055,cat_5
3056,value_3056,cat_6
3057,value_3057,cat_7
3058,value_3058,cat_8
3059,value_3059,cat_9
3060,value_3060,cat_0
3061,value_3061,cat_1
3062,value_3062,cat_2
3063,value_3063,cat_3
3064,value_3064,cat_4
3065,value_3065,cat_5
3066,value_3066,cat_6
3067,value_3067,cat_7
3068,value_3068,cat_8
3069,value_3069,cat_9
3070,value_3070,cat_0
3071,value_3071,cat_1
3072,value_3072,cat_2
3073,value_3073,cat_3
3074,value_3074,cat_4
3075,value_3075,cat_5
3076,value_3076,cat_6
3077,value_3077,cat_7
3078,value_3078,cat_8
3079,value_3079,cat_9
3080,value_3080,cat_0
3081,value_3081,cat_1
3082,value_3082,cat_2
3083,value_3083,cat_3
3084,value_3084,cat_4
3085,value_3085,cat_5
3086,value_3086,cat_6
3087,value_3087,cat_7
3088,value_3088,cat_8
3089,value_3089,cat_9
3090,value_3090,cat_0
3091,value_3091,cat_1
3092,value_3092,cat_2
3093,value_3093,cat_3
3094,value_3094,cat_4
3095,value_3095,cat_5
3096,value_3096,cat_6
3097,value_3097,cat_7
3098,value_3098,cat_8
3099,value_3099,cat_9
3100,value_3100,cat_0
3101,value_3101,cat_1
3102,value_3102,cat_2
3103,value_3103,cat_3
3104,value_3104,cat_4
3105,value_3105,cat_5
3106,value_3106,cat_6
3107,value_3107,cat_7
3108,value_3108,cat_8
3109,value_3109,cat_9
3110,value_3110,cat_0
3111,value_3111,cat_1
3112,value_3112,cat_2
3113,value_3113,cat_3
3114,value_3114,cat_4
3115,value_3115,cat_5
3116,value_3116,cat_6
3117,value_3117,cat_7
3118,value_3118,cat_8
3119,value_3119,cat_9
3120,value_3120,cat_0
3121,value_3121,cat_1
3122,value_3122,cat_2
3123,value_3123,cat_3
3124,value_3124,cat_4
3125,value_3125,cat_5
3126,value_3126,cat_6
3127,value_3127,cat_7
3128,value_3128,cat_8
3129,value_3129,cat_9
3130,value_3130,cat_0
3131,value_3131,cat_1
3132,value_3132,cat_2
3133,value_3133,cat_3
3134,value_3134,cat_4
3135,value_3135,cat_5
3136,value_3136,cat_6
3137,value_3137,cat_7
3138,value_3138,cat_8
3139,value_3139,cat_9
3140,value_3140,cat_0
3141,value_3141,cat_1
3142,value_3142,cat_2
3143,value_3143,cat_3
3144,value_3144,cat_4
3145,value_3145,cat_5
3146,value_3146,cat_6
3147,value_3147,cat_7
3148,value_3148,cat_8
3149,value_3149,cat_9
3150,value_3150,cat_0
3151,value_3151,cat_1
3152,value_3152,cat_2
3153,value_3153,cat_3
3154,value_3154,cat_4
3155,value_3155,cat_5
3156,value_3156,cat_6
3157,value_3157,cat_7
3158,value_3158,cat_8
3159,value_3159,cat_9
3160,value_3160,cat_0
3161,value_3161,cat_1
3162,value_3162,cat_2
3163,value_3163,cat_3
3164,value_3164,cat_4
3165,value_3165,cat_5
3166,value_3166,cat_6
3167,value_3167,cat_7
3168,value_3168,cat_8
3169,value_3169,cat_9
3170,value_3170,cat_0
3171,value_3171,cat_1
3172,value_3172,cat_2
3173,value_3173,cat_3
3174,value_3174,cat_4
3175,value_3175,cat_5
3176,value_3176,cat_6
3177,value_3177,cat_7
3178,value_3178,cat_8
3179,value_3179,cat_9
3180,value_3180,cat_0
3181,value_3181,cat_1
3182,value_3182,cat_2
3183,value_3183,cat_3
3184,value_3184,cat_4
3185,value_3185,cat_5
3186,value_3186,cat_6
3187,value_3187,cat_7
3188,value_3188,cat_8
3189,value_3189,cat_9
3190,value_3190,cat_0
3191,value_3191,cat_1
3192,value_3192,cat_2
3193,value_3193,cat_3
3194,value_3194,cat_4
3195,value_3195,cat_5
3196,value_3196,cat_6
3197,value_3197,cat_7
3198,value_3198,cat_8
3199,value_3199,cat_9
3200,value_3200,cat_0
3201,value_3201,cat_1
3202,value_3202,cat_2
3203,value_3203,cat_3
3204,value_3204,cat_4
3205,value_3205,cat_5
3206,value_3206,cat_6
3207,value_3207,cat_7
3208,value_3208,cat_8
3209,value_3209,cat_9
3210,value_3210,cat_0
3211,value_3211,cat_1
3212,value_3212,cat_2
3213,value_3213,cat_3
3214,value_3214,cat_4
3215,value_3215,cat_5
3216,value_3216,cat_6
3217,value_3217,cat_7
3218,value_3218,cat_8
3219,value_3219,cat_9
3220,value_3220,cat_0
3221,value_3221,cat_1
3222,value_3222,cat_2
3223,value_3223,cat_3
3224,value_3224,cat_4
3225,value_3225,cat_5
3226,value_3226,cat_6
3227,value_3227,cat_7
3228,value_3228,cat_8
3229,value_3229,cat_9
3230,value_3230,cat_0
3231,value_3231,cat_1
3232,value_3232,cat_2
3233,value_3233,cat_3
3234,value_3234,cat_4
3235,value_3235,cat_5
3236,value_3236,cat_6
3237,value_3237,cat_7
3238,value_3238,cat_8
3239,value_3239,cat_9
3240,value_3240,cat_0
3241,value_3241,cat_1
3242,value_3242,cat_2
3243,value_3243,cat_3
3244,value_3244,cat_4
3245,value_3245,cat_5
3246,value_3246,cat_6
3247,value_3247,cat_7
3248,value_3248,cat_8
3249,value_3249,cat_9
3250,value_3250,cat_0
3251,value_3251,cat_1
3252,value_3252,cat_2
3253,value_3253,cat_3
3254,value_3254,cat_4
3255,value_3255,cat_5
3256,value_3256,cat_6
3257,value_3257,cat_7
3258,value_3258,cat_8
3259,value_3259,cat_9
3260,value_3260,cat_0
3261,value_3261,cat_1
3262,value_3262,cat_2
3263,value_3263,cat_3
3264,value_3264,cat_4
3265,value_3265,cat_5
3266,value_3266,cat_6
3267,value_3267,cat_7
3268,value_3268,cat_8
3269,value_3269,cat_9
3270,value_3270,cat_0
3271,value_3271,cat_1
3272,value_3272,cat_2
3273,value_3273,cat_3
3274,value_3274,cat_4
3275,value_3275,cat_5
3276,value_3276,cat_6
3277,value_3277,cat_7
3278,value_3278,cat_8
3279,value_3279,cat_9
3280,value_3280,cat_0
3281,value_3281,cat_1
3282,value_3282,cat_2
3283,value_3283,cat_3
3284,value_3284,cat_4
3285,value_3285,cat_5
3286,value_3286,cat_6
3287,value_3287,cat_7
3288,value_3288,cat_8
3289,value_3289,cat_9
3290,value_3290,cat_0
3291,value_3291,cat_1
3292,value_3292,cat_2
3293,value_3293,cat_3
3294,value_3294,cat_4
3295,value_3295,cat_5
3296,value_3296,cat_6
3297,value_3297,cat_7
3298,value_3298,cat_8
3299,value_3299,cat_9
3300,value_3300,cat_0
3301,value_3301,cat_1
3302,value_3302,cat_2
3303,value_3303,cat_3
3304,value_3304,cat_4
3305,value_3305,cat_5
3306,value_3306,cat_6
3307,value_3307,cat_7
3308,value_3308,cat_8
3309,value_3309,cat_9
3310,value_3310,cat_0
3311,value_3311,cat_1
3312,value_3312,cat_2
3313,value_3313,cat_3
3314,value_3314,cat_4
3315,value_3315,cat_5
3316,value_3316,cat_6
3317,value_3317,cat_7
3318,value_3318,cat_8
3319,value_3319,cat_9
3320,value_3320,cat_0
3321,value_3321,cat_1
3322,value_3322,cat_2
3323,value_3323,cat_3
3324,value_3324,cat_4
3325,value_3325,cat_5
3326,value_3326,cat_6
3327,value_3327,cat_7
3328,value_3328,cat_8
3329,value_3329,cat_9
3330,value_3330,cat_0
3331,value_3331,cat_1
3332,value_3332,cat_2
3333,value_3333,cat_3
3334,value_3334,cat_4
3335,value_3335,cat_5
3336,value_3336,cat_6
3337,value_3337,cat_7
3338,value_3338,cat_8
3339,value_3339,cat_9
3340,value_3340,cat_0
3341,value_3341,cat_1
3342,value_3342,cat_2
3343,value_3343,cat_3
3344,value_3344,cat_4
3345,value_3345,cat_5
3346,value_3346,cat_6
3347,value_3347,cat_7
3348,value_3348,cat_8
3349,value_3349,cat_9
3350,value_3350,cat_0
3351,value_3351,cat_1
3352,value_3352,cat_2
3353,value_3353,cat_3
3354,value_3354,cat_4
3355,value_3355,cat_5
3356,value_3356,cat_6
3357,value_3357,cat_7
3358,value_3358,cat_8
3359,value_3359,cat_9
3360,value_3360,cat_0
3361,value_3361,cat_1
3362,value_3362,cat_2
3363,value_3363,cat_3
3364,value_3364,cat_4
3365,value_3365,cat_5
3366,value_3366,cat_6
3367,value_3367,cat_7
3368,value_3368,cat_8
3369,value_3369,cat_9
3370,value_3370,cat_0
3371,value_3371,cat_1
3372,value_3372,cat_2
3373,value_3373,cat_3
3374,value_3374,cat_4
3375,value_3375,cat_5
3376,value_3376,cat_6
3377,value_3377,cat_7
3378,value_3378,cat_8
3379,value_3379,cat_9
3380,value_3380,cat_0
3381,value_3381,cat_1
3382,value_3382,cat_2
